,Title,Date,Category,Tokens,Negative,Neutral,Positive,Compound,Month,Week
2532,Hamkorbank issues corporate bonds worth 50 billion soums,2024-05-01,SOCIETY,"['hamkorbank', 'issues', 'corporate', 'bonds', 'worth', 'billion', 'soums']",0.0,0.759,0.241,0.2263,2024-05,2024-04-29/2024-05-05
2531,Employment ministry names Uzbekistan's largest employment providers,2024-05-01,SOCIETY,"['employment', 'ministry', 'names', 'uzbekistans', 'largest', 'employment', 'providers']",0.0,1.0,0.0,0.0,2024-05,2024-04-29/2024-05-05
2530,Poachers attack two environmental inspectors on Syrdarya River,2024-05-01,POLITICS,"['poachers', 'attack', 'two', 'environmental', 'inspectors', 'syrdarya', 'river']",0.341,0.659,0.0,-0.4767,2024-05,2024-04-29/2024-05-05
2529,Governors changed in three districts of Andijan region,2024-05-01,SOCIETY,"['governors', 'changed', 'three', 'districts', 'andijan', 'region']",0.0,1.0,0.0,0.0,2024-05,2024-04-29/2024-05-05
2528,Cobalt driver hits a schoolgirl in Samarkand (video),2024-05-01,POLITICS,"['cobalt', 'driver', 'hits', 'schoolgirl', 'samarkand', 'video']",0.0,1.0,0.0,0.0,2024-05,2024-04-29/2024-05-05
2535,Uzhydromet issues avalanche warning for mountain regions,2024-05-01,SOCIETY,"['uzhydromet', 'issues', 'avalanche', 'warning', 'mountain', 'regions']",0.324,0.676,0.0,-0.34,2024-05,2024-04-29/2024-05-05
2526,Shavkat Mirziyoyev receives EBRD President and head of the OPEC International Fund,2024-05-02,SOCIETY,"['shavkat', 'mirziyoyev', 'receives', 'ebrd', 'president', 'head', 'opec', 'international', 'fund']",0.0,1.0,0.0,0.0,2024-05,2024-04-29/2024-05-05
2514,"Individual who attempted to sell a land plot for $400,000 detained in Tashkent region",2024-05-02,SOCIETY,"['individual', 'attempted', 'sell', 'land', 'plot', 'detained', 'tashkent', 'region']",0.278,0.722,0.0,-0.4019,2024-05,2024-04-29/2024-05-05
2524,Minimum pensions and benefits in Uzbekistan increased from May 1,2024-05-02,BUSINESS,"['minimum', 'pensions', 'benefits', 'uzbekistan', 'increased', 'may']",0.0,0.46,0.54,0.5719,2024-05,2024-04-29/2024-05-05
2521,About 10 citizens prosecuted for publicly insulting the president and his family since year beginning ,2024-05-02,SOCIETY,"['citizens', 'prosecuted', 'publicly', 'insulting', 'president', 'family', 'since', 'year', 'beginning']",0.453,0.547,0.0,-0.7003,2024-05,2024-04-29/2024-05-05
2522,Uzbekistan launched a project on management of hazardous chemicals ,2024-05-02,POLITICS,"['uzbekistan', 'launched', 'project', 'management', 'hazardous', 'chemicals']",0.0,0.769,0.231,0.128,2024-05,2024-04-29/2024-05-05
2516,Domestic and foreign journalists covering III Tashkent International Investment Forum ,2024-05-02,POLITICS,"['domestic', 'foreign', 'journalists', 'covering', 'iii', 'tashkent', 'international', 'investment', 'forum']",0.0,1.0,0.0,0.0,2024-05,2024-04-29/2024-05-05
2518,Asakabank to be privatized,2024-05-02,BUSINESS,"['asakabank', 'privatized']",0.0,1.0,0.0,0.0,2024-05,2024-04-29/2024-05-05
2517,Yandex to launch IT education program for schoolchildren and teachers in Uzbekistan,2024-05-02,SOCIETY,"['yandex', 'launch', 'education', 'program', 'schoolchildren', 'teachers', 'uzbekistan']",0.0,1.0,0.0,0.0,2024-05,2024-04-29/2024-05-05
2515,Uzbekistan eyes to cooperate on critical raw materials with US and UK,2024-05-02,BUSINESS,"['uzbekistan', 'eyes', 'cooperate', 'critical', 'raw', 'materials', 'us', 'uk']",0.247,0.753,0.0,-0.3182,2024-05,2024-04-29/2024-05-05
2520,One of Tashkent streets blocked for a month,2024-05-02,SOCIETY,"['one', 'tashkent', 'streets', 'blocked', 'month']",0.344,0.656,0.0,-0.2732,2024-05,2024-04-29/2024-05-05
2527,Qatar Development Fund to aid in Uzbekistan’s social protection initiatives,2024-05-02,POLITICS,"['qatar', 'development', 'fund', 'aid', 'uzbekistans', 'social', 'protection', 'initiatives']",0.0,1.0,0.0,0.0,2024-05,2024-04-29/2024-05-05
2519,"Auction held in Dubai, its proceeds to be used to purchase medicines for children suffering from severe forms of cancer in Uzbekistan",2024-05-02,BUSINESS,"['auction', 'held', 'dubai', 'proceeds', 'used', 'purchase', 'medicines', 'children', 'suffering', 'severe', 'forms', 'cancer', 'uzbekistan']",0.502,0.498,0.0,-0.8779,2024-05,2024-04-29/2024-05-05
2525,Honored artist of Uzbekistan Mashrab Kimsanov dies,2024-05-02,BUSINESS,"['honored', 'artist', 'uzbekistan', 'mashrab', 'kimsanov', 'dies']",0.0,0.568,0.432,0.5859,2024-05,2024-04-29/2024-05-05
2523,"Uzbekistan, Kazakhstan and Azerbaijan plan to lay a cable along bottom of the Caspian Sea",2024-05-02,POLITICS,"['uzbekistan', 'kazakhstan', 'azerbaijan', 'plan', 'lay', 'cable', 'along', 'bottom', 'caspian', 'sea']",0.0,1.0,0.0,0.0,2024-05,2024-04-29/2024-05-05
2513,Gov’t plans to sell shares in 7 state-owned companies on international market,2024-05-02,BUSINESS,"['govt', 'plans', 'sell', 'shares', 'stateowned', 'companies', 'international', 'market']",0.0,0.761,0.239,0.296,2024-05,2024-04-29/2024-05-05
2512,Participants in wedding procession fined for traveling with flashing lights in Namangan,2024-05-02,SOCIETY,"['participants', 'wedding', 'procession', 'fined', 'traveling', 'flashing', 'lights', 'namangan']",0.0,1.0,0.0,0.0,2024-05,2024-04-29/2024-05-05
2510,Inflation in Uzbekistan nears 2.6% in Q1,2024-05-02,SOCIETY,"['inflation', 'uzbekistan', 'nears', 'q']",0.0,1.0,0.0,0.0,2024-05,2024-04-29/2024-05-05
2508,Utility debtors to face power cutoffs,2024-05-02,SOCIETY,"['utility', 'debtors', 'face', 'power', 'cutoffs']",0.0,1.0,0.0,0.0,2024-05,2024-04-29/2024-05-05
2507,Uzbekistan’s state budget deficit exceeds 25 trillion UZS in just four months,2024-05-02,BUSINESS,"['uzbekistans', 'state', 'budget', 'deficit', 'exceeds', 'trillion', 'uzs', 'four', 'months']",0.252,0.748,0.0,-0.4019,2024-05,2024-04-29/2024-05-05
2506,UzAuto Motors' profit soars nearly fourfold in first quarter,2024-05-02,SOCIETY,"['uzauto', 'motors', 'profit', 'soars', 'nearly', 'fourfold', 'first', 'quarter']",0.0,0.707,0.293,0.4404,2024-05,2024-04-29/2024-05-05
2502,Mirziyoyev discusses strategic initiatives with UN Deputy Secretary-General,2024-05-02,SOCIETY,"['mirziyoyev', 'discusses', 'strategic', 'initiatives', 'un', 'deputy', 'secretarygeneral']",0.0,1.0,0.0,0.0,2024-05,2024-04-29/2024-05-05
2509,Uzbekistan and Saudi Arabia to boost economic ties with $18 billion in projects,2024-05-02,POLITICS,"['uzbekistan', 'saudi', 'arabia', 'boost', 'economic', 'ties', 'billion', 'projects']",0.0,0.722,0.278,0.4019,2024-05,2024-04-29/2024-05-05
2503,Tehran hosts Uzbekistan-Iran Business Forum ,2024-05-02,SOCIETY,"['tehran', 'hosts', 'uzbekistaniran', 'business', 'forum']",0.0,1.0,0.0,0.0,2024-05,2024-04-29/2024-05-05
2511,Rumors about detention of Yangikhayot district judge for bribery refuted,2024-05-02,SOCIETY,"['rumors', 'detention', 'yangikhayot', 'district', 'judge', 'bribery', 'refuted']",0.294,0.706,0.0,-0.3612,2024-05,2024-04-29/2024-05-05
2501,Trading volume on stock exchange plummets over tenfold in Q1 ,2024-05-02,SOCIETY,"['trading', 'volume', 'stock', 'exchange', 'plummets', 'tenfold', 'q']",0.0,1.0,0.0,0.0,2024-05,2024-04-29/2024-05-05
2505,Japan and Türkiye express interest in building toll roads in Uzbekistan,2024-05-02,BUSINESS,"['japan', 'trkiye', 'express', 'interest', 'building', 'toll', 'roads', 'uzbekistan']",0.0,0.7,0.3,0.4588,2024-05,2024-04-29/2024-05-05
2500,Uzbekistan and Russia aim to expand cooperation,2024-05-02,POLITICS,"['uzbekistan', 'russia', 'aim', 'expand', 'cooperation']",0.0,0.635,0.365,0.3182,2024-05,2024-04-29/2024-05-05
2504,Early 20th century secrets unveiled as Uzbekistan declassifies archives,2024-05-02,SOCIETY,"['early', 'th', 'century', 'secrets', 'unveiled', 'uzbekistan', 'declassifies', 'archives']",0.0,1.0,0.0,0.0,2024-05,2024-04-29/2024-05-05
2497,Uzbekistan establishes diplomatic relations with Djibouti,2024-05-03,POLITICS,"['uzbekistan', 'establishes', 'diplomatic', 'relations', 'djibouti']",0.0,1.0,0.0,0.0,2024-05,2024-04-29/2024-05-05
2496,EBRD allocates $238 million for road improvements in Khorezm,2024-05-03,BUSINESS,"['ebrd', 'allocates', 'million', 'road', 'improvements', 'khorezm']",0.0,0.685,0.315,0.3182,2024-05,2024-04-29/2024-05-05
2499,Qanot Sharq reschedules Tashkent — Prague flights for late May,2024-05-03,BUSINESS,"['qanot', 'sharq', 'reschedules', 'tashkent', 'prague', 'flights', 'late', 'may']",0.0,1.0,0.0,0.0,2024-05,2024-04-29/2024-05-05
2498,Air Products to construct carbon dioxide purification complex for Navoiyazot,2024-05-03,BUSINESS,"['air', 'products', 'construct', 'carbon', 'dioxide', 'purification', 'complex', 'navoiyazot']",0.0,1.0,0.0,0.0,2024-05,2024-04-29/2024-05-05
2492,Uzbekistan drops 11 lines in Press Freedom Index,2024-05-03,POLITICS,"['uzbekistan', 'drops', 'lines', 'press', 'freedom', 'index']",0.0,0.543,0.457,0.6369,2024-05,2024-04-29/2024-05-05
2491,Fergana and Surkhandarya regions open trading houses in China,2024-05-03,BUSINESS,"['fergana', 'surkhandarya', 'regions', 'open', 'trading', 'houses', 'china']",0.0,1.0,0.0,0.0,2024-05,2024-04-29/2024-05-05
2490,Saudi Arabia could offer job prospects for thousands from Uzbekistan,2024-05-03,BUSINESS,"['saudi', 'arabia', 'could', 'offer', 'job', 'prospects', 'thousands', 'uzbekistan']",0.0,0.761,0.239,0.296,2024-05,2024-04-29/2024-05-05
2488,Migration Agency refutes social media reports of Uzbeks' border troubles in Russia,2024-05-03,SOCIETY,"['migration', 'agency', 'refutes', 'social', 'media', 'reports', 'uzbeks', 'border', 'troubles', 'russia']",0.25,0.75,0.0,-0.4588,2024-05,2024-04-29/2024-05-05
2494,AFC U-23 Asian Cup: Uzbekistan's Olympic squad gears up for final against Japan,2024-05-03,SPORT,"['afc', 'u', 'asian', 'cup', 'uzbekistans', 'olympic', 'squad', 'gears', 'final', 'japan']",0.0,1.0,0.0,0.0,2024-05,2024-04-29/2024-05-05
2493,Saudi’s Vision Invest may take over management of Andijan Airport,2024-05-03,BUSINESS,"['saudis', 'vision', 'invest', 'may', 'take', 'management', 'andijan', 'airport']",0.0,0.778,0.222,0.25,2024-05,2024-04-29/2024-05-05
2489,Kyrgyzstan's new embassy building inaugurated in Tashkent,2024-05-03,POLITICS,"['kyrgyzstans', 'new', 'embassy', 'building', 'inaugurated', 'tashkent']",0.0,1.0,0.0,0.0,2024-05,2024-04-29/2024-05-05
2478,“Uzbekneftegaz” acquires 46.8% stake in “Uztransgaz”,2024-05-03,SOCIETY,"['uzbekneftegaz', 'acquires', 'stake', 'uztransgaz']",0.0,1.0,0.0,0.0,2024-05,2024-04-29/2024-05-05
2487,Bukhara homicide case solved after six-year investigation,2024-05-03,SOCIETY,"['bukhara', 'homicide', 'case', 'solved', 'sixyear', 'investigation']",0.0,0.704,0.296,0.2732,2024-05,2024-04-29/2024-05-05
2495,Foreign big-tech paid nearly 24 billion UZS in taxes in Uzbekistan over three months,2024-05-03,BUSINESS,"['foreign', 'bigtech', 'paid', 'nearly', 'billion', 'uzs', 'taxes', 'uzbekistan', 'three', 'months']",0.0,1.0,0.0,0.0,2024-05,2024-04-29/2024-05-05
2485,Uzbekistan's Foreign Minister conveys condolences for victims of torrential rains in China and Brazil,2024-05-03,POLITICS,"['uzbekistans', 'foreign', 'minister', 'conveys', 'condolences', 'victims', 'torrential', 'rains', 'china', 'brazil']",0.204,0.796,0.0,-0.3182,2024-05,2024-04-29/2024-05-05
2484,Tashkent Airport introduces on-spot IMEI code registration for travelers,2024-05-03,BUSINESS,"['tashkent', 'airport', 'introduces', 'onspot', 'imei', 'code', 'registration', 'travelers']",0.0,1.0,0.0,0.0,2024-05,2024-04-29/2024-05-05
2482,Natural gas and electricity theft incidents surge in Uzbekistan's regions,2024-05-03,SOCIETY,"['natural', 'gas', 'electricity', 'theft', 'incidents', 'surge', 'uzbekistans', 'regions']",0.0,0.737,0.263,0.3612,2024-05,2024-04-29/2024-05-05
2483,Uzbekistan to enhance investor relations with formation of four new working groups,2024-05-03,BUSINESS,"['uzbekistan', 'enhance', 'investor', 'relations', 'formation', 'four', 'new', 'working', 'groups']",0.0,1.0,0.0,0.0,2024-05,2024-04-29/2024-05-05
2480,Uzbekistan’s e-commerce market expected to surge to $1 billion by 2027,2024-05-03,SOCIETY,"['uzbekistans', 'ecommerce', 'market', 'expected', 'surge', 'billion']",0.0,1.0,0.0,0.0,2024-05,2024-04-29/2024-05-05
2479,Shavkat Mirziyoyev welcomes heads of global companies for investment talks,2024-05-03,POLITICS,"['shavkat', 'mirziyoyev', 'welcomes', 'heads', 'global', 'companies', 'investment', 'talks']",0.0,0.722,0.278,0.4019,2024-05,2024-04-29/2024-05-05
2481,Tashkent-Andijan toll road project estimated at $4.65 billion,2024-05-03,SOCIETY,"['tashkentandijan', 'toll', 'road', 'project', 'estimated', 'billion']",0.0,1.0,0.0,0.0,2024-05,2024-04-29/2024-05-05
2486,Uzbekistan takes steps with Turkmenistan for improved water efficiency in Amu Darya,2024-05-03,POLITICS,"['uzbekistan', 'takes', 'steps', 'turkmenistan', 'improved', 'water', 'efficiency', 'amu', 'darya']",0.0,0.556,0.444,0.6808,2024-05,2024-04-29/2024-05-05
2470,"One-year-old girl died due to a falling tree in Chilanzar district, criminal case opened ",2024-05-04,SOCIETY,"['oneyearold', 'girl', 'died', 'due', 'falling', 'tree', 'chilanzar', 'district', 'criminal', 'case', 'opened']",0.518,0.482,0.0,-0.8225,2024-05,2024-04-29/2024-05-05
2469,Traffic policemen who demanded lunch as a bribe fired in Samarkand,2024-05-04,SOCIETY,"['traffic', 'policemen', 'demanded', 'lunch', 'bribe', 'fired', 'samarkand']",0.646,0.354,0.0,-0.743,2024-05,2024-04-29/2024-05-05
2477,Human trafficker from Uzbekistan detained in Russia,2024-05-04,SOCIETY,"['human', 'trafficker', 'uzbekistan', 'detained', 'russia']",0.403,0.597,0.0,-0.4019,2024-05,2024-04-29/2024-05-05
2476,Uzbekistan youth team accepts defeat from Japan in final of Asian Cup U-23 (video),2024-05-04,SPORT,"['uzbekistan', 'youth', 'team', 'accepts', 'defeat', 'japan', 'final', 'asian', 'cup', 'u', 'video']",0.226,0.602,0.173,-0.1779,2024-05,2024-04-29/2024-05-05
2475,Uzbek grandmaster Nodirbek Abdusattarov wins tournament in Sweden,2024-05-04,SPORT,"['uzbek', 'grandmaster', 'nodirbek', 'abdusattarov', 'wins', 'tournament', 'sweden']",0.0,0.619,0.381,0.5719,2024-05,2024-04-29/2024-05-05
2474,FM Saidov receives UNECE Executive Secretary ,2024-05-04,POLITICS,"['fm', 'saidov', 'receives', 'unece', 'executive', 'secretary']",0.0,1.0,0.0,0.0,2024-05,2024-04-29/2024-05-05
2473,Uzbekistan eyes to intensify cooperation with leading healthcare institutions in India,2024-05-04,SOCIETY,"['uzbekistan', 'eyes', 'intensify', 'cooperation', 'leading', 'healthcare', 'institutions', 'india']",0.0,1.0,0.0,0.0,2024-05,2024-04-29/2024-05-05
2471,"OPEC Fund, Uzbekistan ink a framework agreement worth $500 million",2024-05-04,SOCIETY,"['opec', 'fund', 'uzbekistan', 'ink', 'framework', 'agreement', 'worth', 'million']",0.0,0.541,0.459,0.6249,2024-05,2024-04-29/2024-05-05
2472,Residents to be allocated “green” mortgage loans ,2024-05-04,POLITICS,"['residents', 'allocated', 'green', 'mortgage', 'loans']",0.0,1.0,0.0,0.0,2024-05,2024-04-29/2024-05-05
2466,“There is nothing concrete yet” – Head of Uzatom speaks about negotiations with Russia on NPP construction ,2024-05-04,SOCIETY,"['nothing', 'concrete', 'yet', 'head', 'uzatom', 'speaks', 'negotiations', 'russia', 'npp', 'construction']",0.0,1.0,0.0,0.0,2024-05,2024-04-29/2024-05-05
2468,Road accident involving Tracker and Cobalt occurred in Tashkent,2024-05-04,SOCIETY,"['road', 'accident', 'involving', 'tracker', 'cobalt', 'occurred', 'tashkent']",0.341,0.659,0.0,-0.4767,2024-05,2024-04-29/2024-05-05
2465,Football players of Uzbekistan national team solemnly welcomed in Tashkent,2024-05-04,SPORT,"['football', 'players', 'uzbekistan', 'national', 'team', 'solemnly', 'welcomed', 'tashkent']",0.0,0.588,0.412,0.4939,2024-05,2024-04-29/2024-05-05
2464,Russia introduced temporary ban on sugar exports,2024-05-04,SOCIETY,"['russia', 'introduced', 'temporary', 'ban', 'sugar', 'exports']",0.419,0.581,0.0,-0.5574,2024-05,2024-04-29/2024-05-05
2463,Uzbekistan intends to create around 10 brands of international level,2024-05-04,SOCIETY,"['uzbekistan', 'intends', 'create', 'around', 'brands', 'international', 'level']",0.0,0.741,0.259,0.2732,2024-05,2024-04-29/2024-05-05
2462,Uzbek-Tajik demarcation commission held a meeting in Dushanbe,2024-05-04,SOCIETY,"['uzbektajik', 'demarcation', 'commission', 'held', 'meeting', 'dushanbe']",0.0,1.0,0.0,0.0,2024-05,2024-04-29/2024-05-05
2461,CAMCE to build first waste incineration power plant in Uzbekistan,2024-05-04,SOCIETY,"['camce', 'build', 'first', 'waste', 'incineration', 'power', 'plant', 'uzbekistan']",0.286,0.714,0.0,-0.4215,2024-05,2024-04-29/2024-05-05
2467,Man who sexually harassed his brother’s wife sentenced to 5-day imprisonment in Tashkent region,2024-05-04,BUSINESS,"['man', 'sexually', 'harassed', 'brothers', 'wife', 'sentenced', 'day', 'imprisonment', 'tashkent', 'region']",0.365,0.635,0.0,-0.5574,2024-05,2024-04-29/2024-05-05
2455,Cost of Tashkent-Andijan toll road estimated at $4.7 billion,2024-05-06,SOCIETY,"['cost', 'tashkentandijan', 'toll', 'road', 'estimated', 'billion']",0.0,1.0,0.0,0.0,2024-05,2024-05-06/2024-05-12
2459,Italian Arsenale to build luxury trains at Uzbekistan Railways enterprises,2024-05-06,BUSINESS,"['italian', 'arsenale', 'build', 'luxury', 'trains', 'uzbekistan', 'railways', 'enterprises']",0.0,1.0,0.0,0.0,2024-05,2024-05-06/2024-05-12
2458,Uzbekistan exported textile products to 55 countries in Q1,2024-05-06,BUSINESS,"['uzbekistan', 'exported', 'textile', 'products', 'countries', 'q']",0.0,1.0,0.0,0.0,2024-05,2024-05-06/2024-05-12
2460,Green Card 2025 results announced,2024-05-06,SOCIETY,"['green', 'card', 'results', 'announced']",0.0,1.0,0.0,0.0,2024-05,2024-05-06/2024-05-12
2457,Agreements worth $26.6 billion signed at Tashkent Investment Forum ,2024-05-06,BUSINESS,"['agreements', 'worth', 'billion', 'signed', 'tashkent', 'investment', 'forum']",0.0,0.556,0.444,0.4588,2024-05,2024-05-06/2024-05-12
2456,Mild tremors hit Namangan region,2024-05-06,SOCIETY,"['mild', 'tremors', 'hit', 'namangan', 'region']",0.0,1.0,0.0,0.0,2024-05,2024-05-06/2024-05-12
2451,Fee for temporary import of foreign cars leveled for all cars,2024-05-06,SOCIETY,"['fee', 'temporary', 'import', 'foreign', 'cars', 'leveled', 'cars']",0.0,1.0,0.0,0.0,2024-05,2024-05-06/2024-05-12
2454,OPEC Fund supports Uzbekistan's new kindergarten initiative with $20M,2024-05-06,BUSINESS,"['opec', 'fund', 'supports', 'uzbekistans', 'new', 'kindergarten', 'initiative']",0.0,0.706,0.294,0.3612,2024-05,2024-05-06/2024-05-12
2452,Illegal Uzbek and Tajik migrants expelled from Kazakhstan,2024-05-06,SOCIETY,"['illegal', 'uzbek', 'tajik', 'migrants', 'expelled', 'kazakhstan']",0.583,0.417,0.0,-0.6808,2024-05,2024-05-06/2024-05-12
2450,Russia starts closing en masse cafés and restaurants opened by migrants,2024-05-06,SOCIETY,"['russia', 'starts', 'closing', 'en', 'masse', 'cafs', 'restaurants', 'opened', 'migrants']",0.0,1.0,0.0,0.0,2024-05,2024-05-06/2024-05-12
2449,Local resident who fell into a ravine rescued in Navoi,2024-05-06,SOCIETY,"['local', 'resident', 'fell', 'ravine', 'rescued', 'navoi']",0.0,0.641,0.359,0.4215,2024-05,2024-05-06/2024-05-12
2453,Customs benefits expanded for textile industry enterprises,2024-05-06,BUSINESS,"['customs', 'benefits', 'expanded', 'textile', 'industry', 'enterprises']",0.0,0.658,0.342,0.3818,2024-05,2024-05-06/2024-05-12
2441,Shavkat Mirziyoyev gets acquainted with projects in railway sector,2024-05-07,POLITICS,"['shavkat', 'mirziyoyev', 'gets', 'acquainted', 'projects', 'railway', 'sector']",0.0,1.0,0.0,0.0,2024-05,2024-05-06/2024-05-12
2448,Uzbekistan abolishes requirement to insure mortgage housing,2024-05-07,SOCIETY,"['uzbekistan', 'abolishes', 'requirement', 'insure', 'mortgage', 'housing']",0.0,1.0,0.0,0.0,2024-05,2024-05-06/2024-05-12
2447,Head of “Kamolon osh” center Sadulla Saidov dies ,2024-05-07,POLITICS,"['head', 'kamolon', 'osh', 'center', 'sadulla', 'saidov', 'dies']",0.0,1.0,0.0,0.0,2024-05,2024-05-06/2024-05-12
2446,President Mirziyoyev to attend Moscow parade on May 9,2024-05-07,POLITICS,"['president', 'mirziyoyev', 'attend', 'moscow', 'parade', 'may']",0.0,1.0,0.0,0.0,2024-05,2024-05-06/2024-05-12
2445,Bank employee steals 1.5 billion soums in Namangan,2024-05-07,BUSINESS,"['bank', 'employee', 'steals', 'billion', 'soums', 'namangan']",0.398,0.602,0.0,-0.5106,2024-05,2024-05-06/2024-05-12
2444,Participants and disabled people of World War II to be paid 20 million soums ,2024-05-07,POLITICS,"['participants', 'disabled', 'people', 'world', 'war', 'ii', 'paid', 'million', 'soums']",0.328,0.672,0.0,-0.5994,2024-05,2024-05-06/2024-05-12
2443,Moldova appoints a new ambassador to Uzbekistan,2024-05-07,POLITICS,"['moldova', 'appoints', 'new', 'ambassador', 'uzbekistan']",0.0,1.0,0.0,0.0,2024-05,2024-05-06/2024-05-12
2435,President Mirziyoyev receives credentials from newly appointed foreign ambassadors,2024-05-07,POLITICS,"['president', 'mirziyoyev', 'receives', 'credentials', 'newly', 'appointed', 'foreign', 'ambassadors']",0.0,1.0,0.0,0.0,2024-05,2024-05-06/2024-05-12
2440,Head of district cadastral department detained for accepting a bribe in Tashkent,2024-05-07,SOCIETY,"['head', 'district', 'cadastral', 'department', 'detained', 'accepting', 'bribe', 'tashkent']",0.372,0.413,0.215,-0.2263,2024-05,2024-05-06/2024-05-12
2439,Supreme Court rehabilitates another 198 political prisoners convicted during repression years ,2024-05-07,POLITICS,"['supreme', 'court', 'rehabilitates', 'another', 'political', 'prisoners', 'convicted', 'repression', 'years']",0.381,0.387,0.232,-0.3182,2024-05,2024-05-06/2024-05-12
2438,School management fired in Syrdarya after an incident related to schoolchildren,2024-05-07,SOCIETY,"['school', 'management', 'fired', 'syrdarya', 'incident', 'related', 'schoolchildren']",0.375,0.625,0.0,-0.5574,2024-05,2024-05-06/2024-05-12
2437,"Uzbekistan, Kyrgyzstan and Tajikistan discuss fight against terrorism and drug trafficking",2024-05-07,POLITICS,"['uzbekistan', 'kyrgyzstan', 'tajikistan', 'discuss', 'fight', 'terrorism', 'drug', 'trafficking']",0.545,0.455,0.0,-0.802,2024-05,2024-05-06/2024-05-12
2436,Bangladesh set to resume direct flights to Uzbekistan after 20-year hiatus,2024-05-07,SOCIETY,"['bangladesh', 'set', 'resume', 'direct', 'flights', 'uzbekistan', 'year', 'hiatus']",0.0,1.0,0.0,0.0,2024-05,2024-05-06/2024-05-12
2434,Uzbekistan airports served more than 3.1 million passengers in Q1,2024-05-07,SOCIETY,"['uzbekistan', 'airports', 'served', 'million', 'passengers', 'q']",0.0,1.0,0.0,0.0,2024-05,2024-05-06/2024-05-12
2442,"3,000 Uzbek citizens to be employed in Korean automotive service industry ",2024-05-07,POLITICS,"['uzbek', 'citizens', 'employed', 'korean', 'automotive', 'service', 'industry']",0.0,1.0,0.0,0.0,2024-05,2024-05-06/2024-05-12
2427,Citizens of Uzbekistan detained at Delhi airport for smuggling 5 kg of gold,2024-05-08,BUSINESS,"['citizens', 'uzbekistan', 'detained', 'delhi', 'airport', 'smuggling', 'kg', 'gold']",0.492,0.508,0.0,-0.7003,2024-05,2024-05-06/2024-05-12
2432,Special economic zone for Hungarian and European companies to be set up in Uzbekistan,2024-05-08,CULTURE,"['special', 'economic', 'zone', 'hungarian', 'european', 'companies', 'set', 'uzbekistan']",0.0,0.722,0.278,0.4019,2024-05,2024-05-06/2024-05-12
2431,StaffVirtual plans to open its office in Uzbekistan,2024-05-08,SOCIETY,"['staffvirtual', 'plans', 'open', 'office', 'uzbekistan']",0.0,1.0,0.0,0.0,2024-05,2024-05-06/2024-05-12
