Title,Date,Category
Uzbekistan Airways flight from Istanbul to Tashkent makes emergency landing in Ankara,2024-10-30,SOCIETY
Several filling stations in Tashkent face suspension over low-quality gasoline,2024-10-30,SOCIETY
2025 budget draft: Uzbekistan to allocate 6.6 trillion UZS for wage and pension hikes,2024-10-30,BUSINESS
"Uzbekistan to impose new excise tax on sugary drinks, increases on property taxes",2024-10-30,BUSINESS
Regional Power Grids: No power cuts planned for waste collection debt,2024-10-30,POLITICS
Abbosbek Fayzullaev named Asia's Best Young Player,2024-10-30,SPORT
Uzbekistan and Hungary strengthen customs cooperation to boost trade relations,2024-10-30,POLITICS
"Real income in Uzbekistan rises by 7.7% over nine months, regional income disparities widen",2024-10-30,BUSINESS
Uzbekistan expands air links to India with new direct flights to Goa,2024-10-30,POLITICS
Gas and power outages announced in Tashkent district amid cold weather,2024-10-29,SOCIETY
European Union acknowledges advances in Uzbekistan's electoral process,2024-10-29,SOCIETY
Higher Education Ministry announces additional enrollment for master's programs,2024-10-29,SOCIETY
Uzbekistan sees 70% surge in IT service exporters over nine months,2024-10-29,SOCIETY
Uzbekistan announces 2025 state budget proposals with projected revenue and expenditure,2024-10-29,SOCIETY
Uzbekistan eases license capital requirements for private employment agencies,2024-10-29,SOCIETY
Uzbekistan sets $5.5 billion cap on external borrowing for 2025,2024-10-29,BUSINESS
Uzbekistan's border zone rules tightened: Documentation needed for extended stays,2024-10-29,SOCIETY
Illegal mining in Uzbekistan now punishable by up to three years imprisonment,2024-10-29,SOCIETY
"Foreign tech giants double tax payments in Uzbekistan, exceeding 100 billion UZS",2024-10-29,SOCIETY
Uzbekistan’s new ambassador presents credentials to the President of Pakistan,2024-10-29,SOCIETY
Gold bar prices in Uzbekistan reach record high amid surging demand,2024-10-29,SOCIETY
Gov’t amends traffic law to dismiss camera-recorded violations if not processed in 48 hours,2024-10-29,SOCIETY
"Uzbekistan and Kuwait agree to increase flight frequency, boosting pilgrimage tourism",2024-10-29,SOCIETY
Uzbekistan introduces fines for electric scooter and moped violations,2024-10-29,SOCIETY
Uzbekistan and Croatia discuss strengthening bilateral ties,2024-10-29,SOCIETY
Uzbekistan sees decline in emigration,2024-10-29,SOCIETY
Tuition fee payment deadline for first-year students extended to December 1,2024-10-28,POLITICS
Turkmenistan suspends gas exports to Russia,2024-10-28,BUSINESS
Police officer in Samarkand imprisoned for facilitating illegal gold operations,2024-10-28,SOCIETY
Week-long autumn break in schools to start on Nov 4 – Ministry,2024-10-28,SOCIETY
Customs officers intercept attempted smuggling of gold and Chinese coins at Tashkent airport,2024-10-28,SOCIETY
Uzbekistan’s birth rate decline linked to generational population changes,2024-10-28,SOCIETY
Four suspects now in custody over assassination attempt on Komil Allamjonov ,2024-10-28,SOCIETY
WHO provides new diagnostic cameras to Syrdarya for early detection of diabetic retinopathy,2024-10-28,SOCIETY
Kyrgyzstan’s Ambassador to Uzbekistan relieved of duties,2024-10-28,POLITICS
Uzbekistan plans to boost textile exports to India,2024-10-28,SOCIETY
"Foreign Affairs Minister Saidov meets ECO Secretary-General, discusses strengthening economic cooperation",2024-10-28,POLITICS
Three dead from carbon monoxide poisoning in Karakalpakstan,2024-10-28,SOCIETY
"Uzbekistan warns citizens in Kazakhstan of adverse weather, urges caution on roads",2024-10-28,SOCIETY
Uzbekistan appoints new ambassador to Afghanistan,2024-10-28,POLITICS
Parliamentary elections: Preliminary results released,2024-10-28,SOCIETY
"Uzbekistan’s week in review: New flights, green initiatives, assassination attempt on Allamjonov and more",2024-10-27,SOCIETY
New Umrah licensing rules raise concerns of monopoly and rising costs in Uzbekistan,2024-10-26,POLITICS
Uzbekistan to provide one-time utility subsidy for low-income families,2024-10-26,SOCIETY
"Uzbekistan prioritizes global cooperation, BRICS membership not on the agenda – Sodiq Safoyev",2024-10-26,POLITICS
Uzbekistan and Pakistan forge new business ties with $15 million in trade agreements,2024-10-26,SOCIETY
New Ambassador of Uzbekistan presents credentials to Swiss President,2024-10-26,SOCIETY
Malaysia’s Sunview Group to build 600 MW solar power stations in Uzbekistan,2024-10-26,SOCIETY
Prison break: Six inmates escape Russian penal colony; four reportedly from Uzbekistan,2024-10-26,SOCIETY
Uzbekistan’s food delivery market deemed monopolized by Yandex Eats and Express24,2024-10-26,SOCIETY
Two more cotton clusters in Uzbekistan investigated for price manipulation,2024-10-26,SOCIETY
Several airlines change flight routes due to Iranian airspace closure,2024-10-26,SOCIETY
Criminal case opened over assassination attempt on Komil Allamjonov,2024-10-26,SOCIETY
Average monthly salary in Uzbekistan rises above 5.1 million UZS,2024-10-26,SOCIETY
Komil Allamjonov survives assassination attempt,2024-10-26,SOCIETY
President Mirziyoyev welcomes OSCE mission head amid pre-election preparations,2024-10-25,SOCIETY
Cardiovascular disease leads death causes in Uzbekistan’s 2024 mortality data,2024-10-25,SOCIETY
Uzbekistan’s Senate ratifies ILO Convention on Paid Annual Leave,2024-10-25,SOCIETY
FM Saidov holds talks with OSCE officials ahead of parliamentary elections,2024-10-25,SOCIETY
UAE's Bond Investments acquires Poytakht Bank for $10 million,2024-10-25,SOCIETY
Afghanistan plans to boost oil production in Amu Darya Basin with new wells,2024-10-25,SOCIETY
UzAgroInspection returns to Cabinet structure to strengthen agricultural oversight,2024-10-25,SOCIETY
"Yandex Uzbekistan expands with acquisition of Express24 assets, plans to build unified food delivery platform",2024-10-25,SOCIETY
Uzbekistan partners with Korean firm to grow new grape varieties,2024-10-25,SOCIETY
External Labor Migration Agency to transfer overseas employment functions to the private sector,2024-10-25,SOCIETY
Uzbekistan to launch direct passenger and cargo flights to Tanzania,2024-10-25,SOCIETY
"Uzbekistan's population reaches 37.4 million, growing by around 2,000 daily",2024-10-25,SOCIETY
Uzbekistan gains BRICS partner status alongside 12 other nations,2024-10-25,POLITICS
Senate approves digital evidence law to modernize legal system,2024-10-25,SOCIETY
Chinese investors to launch $200M industrial zone in Chirchiq,2024-10-25,SOCIETY
Uzbekistan’s Consulate calls for increased caution by citizens in Türkiye after recent terror attack,2024-10-25,SOCIETY
SpaceX to assist Uzbekistan in developing national space program,2024-10-24,TECH
"Uzbek woman wanted for financial crimes arrested in Türkiye, deported to Uzbekistan",2024-10-24,SOCIETY
President Mirziyoyev calls for immediate ceasefire and humanitarian aid in Middle East conflict,2024-10-24,POLITICS
Uzbekistan's national football team climbs two positions in FIFA rankings,2024-10-24,SPORT
Uzbekistan's Central Bank updates gold bar prices as sales of commemorative coins end,2024-10-24,BUSINESS
Uzbekistan eyes increased agricultural exports via Dubai,2024-10-24,BUSINESS
Senate endorses law for transfer of foreign convicts,2024-10-24,POLITICS
Khantex Group faces legal action over inflated cotton seed prices,2024-10-24,BUSINESS
Radio and print media struggle in Uzbekistan’s evolving media environment,2024-10-24,POLITICS
Tashkent commits 6 billion UZS to improve drainage system ,2024-10-24,POLITICS
Uzbekistan increases social norm for natural gas consumption during heating season,2024-10-24,POLITICS
Senate approves reforms to strengthen fight against unauthorized land seizures,2024-10-24,POLITICS
Uzbekistan ends 'zero' price sales of state assets under new law,2024-10-24,POLITICS
"Mirziyoyev meets Modi and Erdoğan in Kazan, discusses strategic partnerships",2024-10-24,POLITICS
Tashkent region police arrest fraudsters promising driver’s license for money,2024-10-24,SOCIETY
Central Bank reports drop in cash circulation to 20.7%,2024-10-24,BUSINESS
Uzbekistan appoints new ambassador to Croatia,2024-10-24,POLITICS
Shavkat Mirziyoyev honored with Tatarstan's state award,2024-10-24,POLITICS
Global Rule of Law Index 2024: Uzbekistan slips to 83rd position,2024-10-24,POLITICS
"Strengthening trade relations, fostering ties in education and co-op on climate change – Interview with British Ambassador",2024-10-23,POLITICS
Tashkent man sentenced for illegal crypto sales on Telegram,2024-10-23,SOCIETY
Hong Kong aims to boost exports to Europe via Uzbekistan,2024-10-23,SOCIETY
Senate passes comprehensive revisions to law on State Secrets Protection,2024-10-23,SOCIETY
Kazakhstan proposes duty-free trade zone on border with Uzbekistan,2024-10-23,POLITICS
Uzbekistan sees considerable surge in outbound tourism,2024-10-23,SOCIETY
Uzbekistan strengthens telecommunications oversight with new legislation,2024-10-23,SOCIETY
Self-employed workforce in Uzbekistan grows dramatically by nearly 90% over a year,2024-10-23,SOCIETY
Senate approves law enhancing Ombudsman’s authority,2024-10-23,SOCIETY
Car manufacturing in Uzbekistan sees growth despite declines in key brands,2024-10-23,SOCIETY
Uzbekistan and Kazakhstan sign $352 million in agreements to boost cooperation,2024-10-23,POLITICS
New law imposes fines on state agencies for unlawful report demands from businesses,2024-10-23,SOCIETY
Uzbekistan secured $23.6 billion in foreign investments over nine months,2024-10-23,POLITICS
Uzbekistan and Afghanistan discuss construction of Imam al-Bukhari madrasa in Mazar-i-Sharif,2024-10-23,SOCIETY
Uzbekistan postpones population census to 2026,2024-10-23,SOCIETY
Alisher Ganiev wins Uzbekistan's first U23 Greco-Roman Wrestling gold,2024-10-23,SOCIETY
"Criminal case launched against ""Whats"" pyramid scheme organizers",2024-10-23,SOCIETY
Three gas stations in Tashkent region caught selling low-quality fuel,2024-10-23,SOCIETY
Health Minister claims support for children disabled by 'Doc-1 Max' incident; affected parent disputes the statement,2024-10-23,SOCIETY
Shavkat Mirziyoyev to attend BRICS Summit in Russia,2024-10-23,SOCIETY
Cash withdrawals increase in Uzbekistan amid growing economic activity,2024-10-22,BUSINESS
Foreign Ministers of Uzbekistan and Czech Republic ink cooperation agreement in Tashkent,2024-10-22,SOCIETY
Russian journalist and two others die from poisoning in Tashkent hotel,2024-10-22,SOCIETY
Family of four killed in Samarkand gas explosion,2024-10-22,SOCIETY
"Senate convenes on Wednesday to discuss reforms in armed forces, tax, and customs codes",2024-10-22,POLITICS
Uzbekistan and UNODC strengthen cooperation on drug control and crime prevention,2024-10-22,SOCIETY
Uzbekistan forges stronger ties with China in automotive industry,2024-10-22,SOCIETY
President Mirziyoyev unveils $50 million grant plan to address desertification and enhance greening efforts,2024-10-22,POLITICS
Salaries of teachers in Kyrgyzstan outpace wages of teachers in Uzbekistan,2024-10-22,SOCIETY
Uzbekistan and Egypt discuss strengthening collaboration in key sectors,2024-10-22,POLITICS
Uzbekistan Airways to launch regular flights between Tashkent and Hangzhou,2024-10-22,SOCIETY
Uzbekistan toughens penalties for domestic violence against children,2024-10-22,SOCIETY
Several Uzbek airlines return passengers nearly 200 million UZS for service issues,2024-10-22,SOCIETY
South Korea plans to build railway terminal in Namangan,2024-10-22,SOCIETY
Saida Mirziyoyeva discusses with UNFPA representative national health initiatives for women,2024-10-22,SOCIETY
Tashkent ranks among the world's most polluted cities once again,2024-10-22,SOCIETY
"Customs authorities intercept 888 kg of drugs, 34 firearms at borders in nine months",2024-10-22,SOCIETY
"President Mirziyoyev criticizes drainage system in Tashkent, calls for urgent improvements",2024-10-21,POLITICS
"FM Saidov meets OSCE Election Observation Mission chief, discusses preparations and reforms",2024-10-21,POLITICS
"Uzbekistan's gas and oil production shrinks, coal and electricity output rises",2024-10-21,SOCIETY
Uzbekistan to build eight waste-to-energy plants in push for environmental sustainability ,2024-10-21,SOCIETY
Foreign currency supply outpaces demand in Uzbekistan ,2024-10-21,BUSINESS
"Uzbekistan’s gas exports to China doubled in September, hitting yearly peak",2024-10-21,SOCIETY
Uzbekistan and Poland to strengthen cooperation in agriculture,2024-10-21,SOCIETY
"Uzbekistan to boost green energy capacity, reducing emissions by 21 million tons annually",2024-10-21,SOCIETY
Uzbekistan Airways to launch direct flights to Pakistan’s Lahore,2024-10-21,SOCIETY
Ministry of Higher Education initiates legal action against several private universities in Uzbekistan,2024-10-21,SOCIETY
Alif Uzbekistan Secures $5 Million Credit Line from Cur8 Capital to Expand Nasiya Retail Financing,2024-10-21,BUSINESS
Uzbekistan secures reduced fees for freight transport through Afghanistan,2024-10-21,SOCIETY
Over sixty criminal cases filed as billions stolen from wage funds in Uzbekistan,2024-10-21,SOCIETY
Czech Foreign Minister highlights strong ties and future opportunities with Uzbekistan,2024-10-21,SOCIETY
Russian MP calls for visa regime with Uzbekistan amid army recruitment dispute,2024-10-21,POLITICS
"Gold prices continue to climb, reaching new all-time high in Uzbekistan",2024-10-21,BUSINESS
Arsenal reportedly eyeing Uzbek defender Abdukodir Khusanov for key defensive role,2024-10-21,SPORT
Green energy production growing in Uzbekistan ,2024-10-21,BUSINESS
"Uzbekistan Weekly Digest: New Umrah rules, Space Treaty ratification, rising inflation, real estate price surge and more",2024-10-19,POLITICS
Chinese automaker FAW to build $100 million truck plant in Andijan,2024-10-19,BUSINESS
Uzbekistan and Switzerland collaborate to develop exclusive tourism routes,2024-10-19,TOURISM
Law enforcement officers apprehended over 6.2 thousand suspects in nine months,2024-10-19,SOCIETY
Czech Foreign Minister to visit Uzbekistan,2024-10-19,POLITICS
Lithuania to cap influx of low-skilled workers from Non-EU countries,2024-10-19,BUSINESS
Geopolitical tensions and currency fluctuations pose major risks to Uzbekistan’s financial stability,2024-10-19,SOCIETY
"Traffic congestion, tram revival, and stricter lane penalties – Interview with Transport Minister",2024-10-19,SOCIETY
Skilled Uzbek professionals to secure employment in Germany following training courses,2024-10-19,SOCIETY
Malaysia explores investment opportunities in Uzbekistan’s Islamic finance market,2024-10-19,SOCIETY
Uzbekistan to fully transition to cashless payments on public transport starting in 2025,2024-10-19,SOCIETY
New ambassador of Egypt presents credentials to FM Saidov,2024-10-19,SOCIETY
Central Bank of Uzbekistan to set new inflation target amid economic uncertainty,2024-10-19,SOCIETY
Authorities refute false reports of deliberate explosion at M25 site to halt gas leak,2024-10-19,SOCIETY
Lulu Group may launch fruit and vegetable exports from Uzbekistan to Kuwait,2024-10-19,SOCIETY
Uzbekistan plans to halve poverty by the end of 2025 through economic growth and human capital investment,2024-10-19,SOCIETY
Uzbekistan and Sweden discuss strengthening bilateral relations and trade ties,2024-10-19,SOCIETY
"Uzbekistan sees drop in bribery cases, yet other corruption offenses rise",2024-10-19,SOCIETY
World Bank expert urges Uzbekistan to manage external debt prudently ,2024-10-18,BUSINESS
Kuwaiti firm eyes joint ventures in Uzbekistan’s chemical industry,2024-10-18,SOCIETY
Housing prices in Uzbekistan outpace fundamental value by 28% in H1 2024,2024-10-18,SOCIETY
Uzbekistan repatriates four more orphaned minors from Russia,2024-10-18,SOCIETY
Saida Mirziyoyeva commends efforts in maternal and child health services,2024-10-18,SOCIETY
Gold prices reach new heights as 5-gram bar tops 5.7 million UZS,2024-10-18,SOCIETY
"Qatar’s Dynasty Jet plans to establish office in Uzbekistan, strengthening bilateral trade",2024-10-18,POLITICS
Fergana man arrested for attempting to smuggle 44 iPhones worth 900 million UZS,2024-10-18,SOCIETY
Vehicle collision with gas pipeline leaves thousands without gas in Surkhandarya,2024-10-18,SOCIETY
Uzbekistan aims for $200 billion GDP by 2030,2024-10-18,SOCIETY
AI-80 gasoline prices surge by around 40% in Uzbekistan despite global oil price drop,2024-10-18,SOCIETY
Uzbek canoe athlete banned for three years for doping violation,2024-10-18,SOCIETY
Uzbekistan and Azerbaijan agree on closer cooperation against security threats,2024-10-18,POLITICS
Akmal Saidov: Uzbekistan will not join military alliances or allow foreign bases on its territory,2024-10-18,POLITICS
Saida Mirziyoyeva reviews healthcare digitalization initiative,2024-10-18,SOCIETY
Freedom House report: Internet freedom in Uzbekistan among the lowest worldwide,2024-10-18,SOCIETY
Naomi Campbell praises Uzbekistan’s creative potential during visit,2024-10-17,SOCIETY
Uzbekistan to increase education and healthcare spending by 20% in 2025,2024-10-17,POLITICS
Prominent Islamic scholars convene in Uzbekistan to discuss Islam’s role in fostering peace and unity – Photos,2024-10-17,SOCIETY
Tokayev: Central Asia’s global influence is growing,2024-10-17,POLITICS
"Central Bank of Uzbekistan expands gold purchases, cuts currency interventions",2024-10-17,BUSINESS
Uzbekistan and Italy discuss prospects for expanding bilateral strategic partnership,2024-10-17,POLITICS
Uzbekistan ranks among top 3 fastest-growing economies in Europe and Central Asia for 2024 — World Bank,2024-10-17,BUSINESS
"President Mirziyoyev urges to speed up toll road construction, ensuring free alternatives",2024-10-17,POLITICS
Central Asia faces rising debt: Kazakhstan and Kyrgyzstan at the forefront,2024-10-17,BUSINESS
Law enforcement officers intercept 4.5 kg of synthetic narcotics in Tashkent raids,2024-10-17,SOCIETY
Nuclear fuel from Uzbekistan to be processed in Russia and returned after use,2024-10-17,POLITICS
"Inflation in Uzbekistan hit 13.4% in September, with prices for fuel, meat, and dairy products jumping the most",2024-10-17,SOCIETY
Zamin Foundation equips 180 schools in Karakalpakstan with water purification systems,2024-10-17,SOCIETY
Authorities uncover 5 billion UZS of energy and gas theft at filling stations in Tashkent and Samarkand,2024-10-17,SOCIETY
Kazakhstan turns down BRICS membership offer,2024-10-17,POLITICS
Tashkent sets paid parking tariffs to regulate traffic flow,2024-10-17,SOCIETY
"Uganda’s first ambassador to Uzbekistan takes office, meets with FM Saidov",2024-10-17,POLITICS
Scammers target employees via fake Telegram accounts of high-ranking officials,2024-10-17,SOCIETY
EV sales in Uzbekistan soar 2.4 times amidst overall decline in car market,2024-10-17,BUSINESS
Uzbekistan sees 64% surge in freight exports to Russia amid China payment issues,2024-10-16,SOCIETY
"Six citizens of Uzbekistan died in a tragic road accident in Kazakhstan, four injured",2024-10-16,SOCIETY
Uzbekistan's World Cup 2026 hopes surge after UAE victory,2024-10-16,SPORT
Gold hits 1.1 million UZS per gram in Uzbekistan: Key factors explained,2024-10-16,SOCIETY
"Tashkent region to enhance public transport with 1,000 new buses",2024-10-16,POLITICS
British companies eye investment in Uzbekistan’s growing economy,2024-10-16,POLITICS
Узбекистанцев в России предостерегли от участия в боевых действиях,2024-10-16,SOCIETY
Religious Affairs Committee chairman comments on why Uzbekistan not using full Hajj quota ,2024-10-16,SOCIETY
FM Saidov welcomes Nicaragua’s first ambassador to Uzbekistan,2024-10-16,POLITICS
Veolia Energy: Heating season in Tashkent to begin after cold spell reaches threshold,2024-10-16,SOCIETY
"Uzbekistan warns citizens against joining foreign military forces, vows legal consequences",2024-10-16,POLITICS
Uzbekistan repatriates 11 abandoned children from abroad,2024-10-16,SOCIETY
Uzbekistan appoints new ambassador to Sweden,2024-10-16,POLITICS
South Korea to build $6.2 million waste recycling plant in Jizzakh region,2024-10-16,BUSINESS
"Two men arrested in Tashkent for attempting to sell 100 antique gold coins for $67,000",2024-10-16,SOCIETY
Kazakhstan introduces language and history knowledge requirements for citizenship,2024-10-16,POLITICS
Bulgarian company seeking construction workers from Uzbekistan,2024-10-16,SOCIETY
Uzbekistan defeats UAE in crucial 2026 World Cup qualifiers,2024-10-15,SPORT
Uzbekistan and Spain to discuss strengthening cooperation in construction materials sector,2024-10-15,SOCIETY
President Mirziyoyev reviews $4.6 billion copper plant construction in Almalyk,2024-10-15,SOCIETY
Monopoly concerns and $1M reserve fund – Religious Committee chairman comments on new licensing requirements for Umrah pilgrimage operators,2024-10-15,SOCIETY
Uzbekistan hosting international conference on Islam as a religion of peace,2024-10-15,SOCIETY
Malaysian sovereign fund Khazanah Nasional Berhad expresses interest in privatization projects in Uzbekistan,2024-10-15,SOCIETY
Uzbekistan to build $100 million aluminum can plant in Navoi,2024-10-15,BUSINESS
Global Hunger Index: Uzbekistan among countries with lowest hunger levels,2024-10-15,SOCIETY
UAE's MBS Global Investments may join Tashkent-Andijan toll road project,2024-10-15,BUSINESS
Uzbekistan and Hungary to cooperate on cancer treatment,2024-10-15,POLITICS
Uzbekistan to export 3-4 tons of grapes to the U.S. weekly,2024-10-15,BUSINESS
Central Asian migrants in Russia forced to join Ukraine war,2024-10-15,POLITICS
Beeline Uzbekistan announces leadership change: Pyatakhin to succeed Malinowski,2024-10-15,POLITICS
2026 World Cup qualifiers: Uzbekistan faces UAE in crucial group match,2024-10-15,SPORT
Uzbek investors pull 30% of assets from Russian brokerage accounts amid sanctions concerns,2024-10-15,BUSINESS
Ministry of Justice issues warning to Ministry of Health over counterfeit drugs,2024-10-15,BUSINESS
Afrosiyob train fares expected to rise again,2024-10-15,BUSINESS
President Mirziyoyev unveils $26 billion development projects in Tashkent region,2024-10-15,BUSINESS
"Uzbekistan’s real estate market slows in September, sales and rental activity declines",2024-10-15,BUSINESS
Uzbekistan’s new ambassador presents credentials to Pakistan’s Foreign Ministry,2024-10-14,SOCIETY
STC reveals top taxpayers in Uzbekistan: State enterprises dominate the list,2024-10-14,SOCIETY
"Two arrested in Tashkent for selling $43,750 worth of counterfeit medicine",2024-10-14,SOCIETY
German companies to provide project consulting and technology to Uzbekistan’s construction sector,2024-10-14,SOCIETY
Uzbekistan's World Cup 2026 chances rise to 82.8% after draw with Iran,2024-10-14,SPORT
"UZS depreciates further, US dollar exchange rate up",2024-10-14,SOCIETY
UzAuto Motors dominates Uzbekistan's car market with 89% share in nine months of 2024,2024-10-14,SOCIETY
Uzbekistan joins International Space Treaty,2024-10-14,SOCIETY
Netherlands considering deal with Uzbekistan on deporting failed Afghan asylum seekers,2024-10-14,SOCIETY
"Uzbekistan imports over 48,000 cars in eight months, China leads as top supplier",2024-10-14,SOCIETY
"Uzbekistan, Kyrgyzstan, and Kazakhstan to collaborate on $3 billion hydroelectric power project",2024-10-14,POLITICS
FIFA President expresses gratitude to Uzbekistan for the successful hosting of 2024 Futsal World Cup,2024-10-14,SOCIETY
Citizen of Uzbekistan faces trial in Russia for armed incident linked to Ukraine war,2024-10-14,SOCIETY
Tashkent sees slight rental price increase despite yearly decline,2024-10-14,SOCIETY
Uzbekistan tightens rules for Umrah pilgrimage operators: $1 million reserve fund required,2024-10-14,SOCIETY
"Weekly highlights: Uzbekistan’s CIS summit initiatives, WTO progress, and air quality challenges",2024-10-13,SOCIETY
Energy efficiency push: Uzbekistan to wrap up tariff reforms by 2025,2024-10-12,POLITICS
Two men sentenced to 7.5 years for running illegal lottery in Karakalpakstan,2024-10-12,SOCIETY
Uzbekistan's 2023 Progressive Rating reveals development disparities among regions,2024-10-12,SOCIETY
"NMMC launches historic $1 billion Notes offering, boosting Uzbekistan’s global market presence",2024-10-12,BUSINESS
"Uzbekistan, France discuss coordinated efforts on Afghan crisis, terrorism, and drug trafficking",2024-10-12,SOCIETY
Uzbekistan and Kazakhstan hold strategic joint military drills at Forish training ground,2024-10-12,POLITICS
Applicants sue Knowledge Assessment Agency over alleged unfair exam questions,2024-10-12,POLITICS
FIFA Futsal rankings: Uzbekistan drops from 11th to 21st spot following World Cup performance,2024-10-12,SPORT
Uzbekistan imports $94 million worth of chocolate and cocoa products from 35 countries,2024-10-12,SOCIETY
Sergeli explosion: Court sentences four defendants to five years in prison,2024-10-12,SOCIETY
Uzbekistan seeks to join European multilateral transport permit system,2024-10-12,SOCIETY
Hyundai Rotem may launch electric train production in Uzbekistan,2024-10-12,SOCIETY
Uzbekistan to Complete Transition to Wholesale Electricity and Gas Markets by 2028,2024-10-12,SOCIETY
Presidents of Uzbekistan and Iran discuss strengthening bilateral cooperation,2024-10-11,POLITICS
Uzbekistan to exempt science Olympiad winners from income tax starting 2025,2024-10-11,SOCIETY
Waste management company in Namangan to return consumers 11 billion UZS for unrendered services,2024-10-11,SOCIETY
Customs officers seize 1 billion UZS worth of counterfeit medicine in Fergana Valley,2024-10-11,SOCIETY
Türkiye to replace 'Central Asia' term with 'Turkestan' in education curriculum,2024-10-11,SOCIETY
Uzbek company to invest nearly $1 billion in Afghanistan’s energy sector over 10 years,2024-10-11,SOCIETY
"SSS foils multiple drug smuggling attempts, seizes 47 kg of opium and hashish",2024-10-11,SOCIETY
Uzbekistan to establish 10 new industry laboratories to boost product standards,2024-10-11,POLITICS
Uzbekistan seeks partnership with Kazakhstan and Gazprom to upgrade its gas infrastructure,2024-10-11,SOCIETY
Former government employee sentenced for embezzling nearly 1 billion UZS to gamble online,2024-10-11,SOCIETY
Flood risk declared in four regions of Uzbekistan due to heavy rainfall,2024-10-11,SOCIETY
Tashkent-Andijan toll road set for completion by 2030,2024-10-11,SOCIETY
"Uzbekistan extracted 100 tons of gold in 2023, down by 4 tons compared to previous year",2024-10-11,SOCIETY
Currency volatility drives inflation fears in Uzbekistan,2024-10-10,BUSINESS
Uzbekistan and Iran play out a goalless draw in World Cup qualifiers,2024-10-10,SPORT
Tashkent’s rental market continues upward trend as demand increases,2024-10-10,SOCIETY
Centrum Air to launch direct flights from Tashkent to Guangzhou starting in November,2024-10-10,SOCIETY
Ministry of Education condemns illegal involvement of teachers in cotton harvesting,2024-10-10,POLITICS
Former Deputy Minister of Agriculture sentenced for corruption,2024-10-10,POLITICS
